uuid,id,subscription_id,rhm_metric_id,aws_dimension,azure_dimension,billing_factor,enable_gratis_usage,prometheus,type
f2752296-f2c7-4b45-9b91-a16276200d26,Cores,openshift-dedicated-metrics,redhat.com:openshift_dedicated:4cpu_hour,,,0.2500,,default,counter
fc108c2e-e340-4fe5-b362-c0bc427ec444,Instance-hours,openshift-dedicated-metrics,redhat.com:openshift_dedicated:cluster_hour,,,,,default,counter
3921e44b-1403-4a5f-94f8-a823b9e9dc45,Cores,OpenShift-metrics,redhat.com:openshift_container_platform:cpu_hour,,,,,default,counter
aa75943f-f60b-4fab-86c6-fe044dc0b310,Sockets,openshift-container-platform,,,,,,,counter
b901c5ba-5c53-48eb-9ba1-cab253e4a5c2,Cores,openshift-container-platform,,,,,,,counter
b4d1c5f3-b378-4fcb-b37c-a771eb08d19d,vCPUs,rhacm,,acm_vcpu_hours,,,,rosa,counter
9d106c34-5f92-4efa-9233-bcd274b661e3,Cores,rhacs,redhat.com:rhacs:cpu_hour,vCPU_Hour,vcpu_hour,,,default,counter
a9e5c3bd-411d-433a-a93d-665daf627247,Cores,rhods,redhat.com:openshift_data_science:cpu_hours,cluster_cpu_hour,cluster_cpu_hour,,,addonSamples,counter
9a466e31-5cb4-43e9-b95e-31b3a0e10515,Sockets,rhel-aus-addon,,,,,,,gauge
c28e5d16-bc3a-4612-80ad-9240ce60edf5,Sockets,rhel-for-arm,,,,,,,gauge
092a7bed-af63-406e-b7dc-0cd7a4941161,Sockets,rhel-for-ibm-power,,,,,,,gauge
9e8b5afb-22c0-4205-b741-bcf98e189eec,Sockets,rhel-for-ibm-z,,,,,,,gauge
b4174713-a660-47f0-940d-aceb908e2d6d,Sockets,rhel-for-sap-x86,,,,,,,gauge
adc4afa9-c60e-4b61-a1ac-85da9f498541,Sockets,rhel-for-x86,,,,,,,gauge
33664bb5-b537-4251-95f9-3ec62d26ea80,Sockets,rhel-for-x86-els,,,,,,,gauge
f246edff-ffc4-425d-8435-973a8cfddaec,vCPUs,rhel-for-x86-els-payg,,vCPU_hours,,,,rhelemeter,counter
6b63f1c0-dd98-41eb-8c3e-dd6b33f23659,vCPUs,rhel-for-x86-els-payg-addon,,vcpu_hourly,vcpu_hours,,,rhelemeter,counter
c6cce91d-869b-492c-a273-f85744e34cba,Sockets,rhel-for-x86-eus,,,,,,,gauge
a6ddd5f5-b639-4c78-bdfd-b8c6623590ed,Sockets,rhel-for-x86-ha,,,,,,,gauge
feacc880-ea40-4a35-826f-0993b229e02b,Sockets,rhel-for-x86-rs,,,,,,,gauge
2d8a566a-d7fc-421f-8c35-c2e1579faefc,Sockets,satellite-capsule,,,,,,,gauge
1f13670b-31d2-4354-a545-431320d2a200,Sockets,satellite-server,,,,,,,gauge
7c7ef576-a206-4a6d-8404-44ad793848a4,Managed-nodes,ansible-aap-managed,,managed_node,,,,,gauge
60febdec-7676-4949-94a0-c289090780b9,Instance-hours,ansible-aap-managed,,infrastructure,,,,,counter
be77f1ba-79fe-45d6-be0b-5716511427a5,Instance-hours,rosa,,control_plane,,1.0000,,default,counter
fab187f0-9fde-4240-8b6c-4a4813faa65e,Cores,rosa,,four_vcpu_hour,four_vcpu_hour,0.2500,,rosa,counter
